;ideCadastro;condicao;nome;nomeParlamentar;sexo;uf;partido;dataNascimento;email
0;73701;Titular;BENEDITA SOUZA DA SILVA SAMPAIO;Benedita da Silva;feminino;RJ;PT;26/04/1942;dep.beneditadasilva@camara.leg.br
1;74090;Titular;ÁTILA SIDNEY LINS DE ALBUQUERQUE;Átila Lins;masculino;AM;PSD;22/11/1950;dep.atilalins@camara.leg.br
2;73801;Titular;RENILDO VASCONCELOS CALHEIROS;Renildo Calheiros;masculino;PE;PCdoB;20/04/1959;dep.renildocalheiros@camara.leg.br
3;74848;Titular;JANDIRA FEGHALI;Jandira Feghali;feminino;RJ;PCdoB;17/05/1957;dep.jandirafeghali@camara.leg.br
4;139285;Titular;LÍDICE DA MATA E SOUZA;Lídice da Mata;feminino;BA;PSB;12/03/1956;dep.lidicedamata@camara.leg.br
5;74317;Titular;JÚLIO CÉSAR DE CARVALHO LIMA;Júlio Cesar;masculino;PI;PSD;25/08/1948;dep.juliocesar@camara.leg.br
6;74537;Titular;CLÁUDIO CAJADO SAMPAIO;Claudio Cajado;masculino;BA;PP;01/12/1963;dep.claudiocajado@camara.leg.br
7;74075;Titular;ELCIONE THEREZINHA ZAHLUTH BARBALHO;Elcione Barbalho;feminino;PA;MDB;05/10/1944;dep.elcionebarbalho@camara.leg.br
8;73433;Titular;ARLINDO CHIGNALIA JUNIOR;Arlindo Chinaglia;masculino;SP;PT;24/12/1949;dep.arlindochinaglia@camara.leg.br
9;74428;Titular;JOSÉ MENDONÇA BEZERRA FILHO;Mendonça Filho;masculino;PE;UNIÃO;12/07/1966;dep.mendoncafilho@camara.leg.br
10;73768;Titular;DILCEU JOÃO SPERAFICO;Dilceu Sperafico;masculino;PR;PP;26/01/1948;dep.dilceusperafico@camara.leg.br
11;74550;Titular;JOÃO FELIPE DE SOUZA LEÃO;João Leão;masculino;BA;PP;27/02/1946;dep.joaoleao@camara.leg.br
12;74554;Titular;JOSÉ ALVES ROCHA;José Rocha;masculino;BA;UNIÃO;18/08/1948;dep.joserocha@camara.leg.br
13;74858;Titular;LUIZ LINDBERGH FARIAS FILHO;Lindbergh Farias;masculino;RJ;PT;08/12/1969;dep.lindberghfarias@camara.leg.br
14;74856;Titular;MARIA LAURA MONTEZA DE SOUZA CARNEIRO;Laura Carneiro;feminino;RJ;PSD;01/05/1963;dep.lauracarneiro@camara.leg.br
