ideCadastro,condicao,nome,nomeParlamentar,sexo,uf,partido,dataNascimento,email
0,73701,Titular,BENEDITA SOUZA DA SILVA SAMPAIO,Benedita da Silva ,feminino,RJ,PT,26/04/1942,dep.beneditadasilva@camara.leg.br
1,73696,Titular,ANGELA REGINA HEINZEN AMIN HELOU,Angela Amin ,feminino,SC,PP,20/12/1953,dep.angelaamin@camara.leg.br
2,73801,Titular,RENILDO VASCONCELOS CALHEIROS,Renildo Calheiros ,masculino,PE,PCdoB,20/04/1959,dep.renildocalheiros@camara.leg.br
3,74848,Titular,JANDIRA FEGHALI,Jandira Feghali ,feminino,RJ,PCdoB,17/05/1957,dep.jandirafeghali@camara.leg.br
4,74459,Titular,ÁTILA FREITAS LIRA,Átila Lira ,masculino,PI,PP,07/04/1947,dep.atilalira@camara.leg.br
5,73466,Titular,RUBENS BUENO,Rubens Bueno ,masculino,PR,CIDADANIA,23/05/1948,dep.rubensbueno@camara.leg.br
6,74419,Titular,LUIZ GONZAGA PATRIOTA,Gonzaga Patriota ,masculino,PE,PSB,26/04/1946,dep.gonzagapatriota@camara.leg.br
7,74317,Titular,JÚLIO CÉSAR DE CARVALHO LIMA,Júlio Cesar ,masculino,PI,PSD,25/08/1948,dep.juliocesar@camara.leg.br
8,74075,Titular,ELCIONE THEREZINHA ZAHLUTH BARBALHO,Elcione Barbalho ,feminino,PA,MDB,05/10/1944,dep.elcionebarbalho@camara.leg.br
9,73433,Titular,ARLINDO CHIGNALIA JUNIOR,Arlindo Chinaglia ,masculino,SP,PT,24/12/1949,dep.arlindochinaglia@camara.leg.br
10,73788,Titular,RICARDO JOSÉ MAGALHÃES BARROS,Ricardo Barros ,masculino,PR,PP,15/11/1959,dep.ricardobarros@camara.leg.br
11,73531,Titular,IVAN VALENTE,Ivan Valente ,masculino,SP,PSOL,05/07/1946,dep.ivanvalente@camara.leg.br
12,74749,Titular,MAURO RIBEIRO LOPES,Mauro Lopes ,masculino,MG,PP,24/05/1936,dep.maurolopes@camara.leg.br
13,74299,Titular,JOSÉ LEÔNIDAS DE MENEZES CRISTINO,Leônidas Cristino ,masculino,CE,PDT,03/06/1957,dep.leonidascristino@camara.leg.br
14,74655,Titular,EDUARDO LUIZ BARROS BARBOSA,Eduardo Barbosa ,masculino,MG,PSDB,25/08/1958,dep.eduardobarbosa@camara.leg.br
15,73772,Titular,HERMES PARCIANELLO,Hermes Parcianello ,masculino,PR,MDB,25/04/1958,dep.hermesparcianello@camara.leg.br
16,74079,Titular,JOSÉ BENITO PRIANTE JÚNIOR,José Priante ,masculino,PA,MDB,02/12/1963,dep.josepriante@camara.leg.br
17,74439,Titular,WOLNEY QUEIROZ MACIEL,Wolney Queiroz ,masculino,PE,PDT,12/12/1972,dep.wolneyqueiroz@camara.leg.br
18,73441,Titular,CELSO UBIRAJARA RUSSOMANNO,Celso Russomanno ,masculino,SP,REPUBLICANOS,20/08/1956,dep.celsorussomanno@camara.leg.br
19,74043,Titular,JOSÉ WELLINGTON ROBERTO,Wellington Roberto ,masculino,PB,PL,19/05/1959,dep.wellingtonroberto@camara.leg.br
20,74585,Titular,LINCOLN DINIZ PORTELA,Lincoln Portela ,masculino,MG,PL,03/11/1953,dep.lincolnportela@camara.leg.br
