reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
eaf1a1c4-4219-409b-b74c-1707082bc12a,CãoPeão,https://play-lh.googleusercontent.com/a-/ALV-UjVlvNYw_2BhH_ZWdvn7iHwJKsr-_nwiVFtoBz7FHg4y0Rs,"Se o BB é um banco de todos, o seu app tb deveria ser! Com tanta informação não requisitada (que chega a ser uma poluição visual) e vários gráficos com efeitos desnecessários e pesados, o seu funcionamento é extremamente prejudicado para quem tem smartphones mais simples e antigos! Muita demora, travamento e perda de paciência em mexer no app. Deveriam simplificar (e muito) para o app ficar mais parecido com o da CEF (quem diria) ou fazer uma versão bem light do atual.",2,98,8.44.1.0,2023-09-21 12:15:03,"Olá! Anotamos sua sugestão aqui! Sua contribuição é muito importante para nós, pois assim podemos aprimorar sempre os nossos serviços. 💛💙 #MaisQueDigital.",2023-09-21 12:27:53,8.44.1.0
591fb3bd-4dd9-4b20-861f-cb6cef9cf0bc,Suely Nishiwaki,https://play-lh.googleusercontent.com/a/ACg8ocKmpXlFtpJJzwVuTxgDhnbHIrHWuwyvVs3BNRMkxasZ=mo,"Infelizmente, o APP que era bom está deixando a desejar. Demora demais para abrir, quando abre e você está realizando uma transação, ele fecha sozinho. Não é problema de conexão, porque já testei em vários lugares diferentes, seja com wi-fi ou 4G. Hoje, terminei de fazer um PIX e recebi uma mensagem para tentar mais tarde pois havia um problema com a conexão. Minutos depois, recebo uma mensagem de que o PIX foi enviado! Como assim? Com certeza, algo está errado.",1,382,8.44.1.0,2023-09-14 14:48:59,"Oi, Suely! Caso precise de auxílio, nos envie uma mensagem com a #atendimentoBB em nosso perfil oficial no Facebook (via Messenger) ou Instagram (via DM) para análise do seu caso. Permanecemos à disposição!",2023-09-14 17:28:30,8.44.1.0
779054e3-6e79-4181-bced-edfc51b18684,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"O aplicativo é muito instável e muitas vezes o acesso é demorado. Não está sendo possível acessar as funcionalidades do menu ""Câmbio"" (há semanas não consigo mesmo atualizado). O sistema fica ""rodando"" e no final, aparece a mensagem de ""não foi possível executar a transação"". Enfim. O app BB não funciona por inteiro. O APP continua instável, com demora absurda de uma tela para outra além da dificuldade de se obter a segunda via de comprovantes em geral. Mensagem ""erro ao executar a transação"".",1,1704,8.44.1.0,2023-09-19 12:58:41,"Oi! Vamos verificar melhor isso? Por favor, nos chame por nas páginas oficiais do BB no Facebook (Messenger) ou Instagram (Direct), com a #atendimentoapp ou ligue no SAC, no telefone 0800-729-0722.",2023-09-19 14:24:35,8.44.1.0
efc9f869-ec6a-4d5c-8fbb-cc09dc5544d2,Alisson Malone,https://play-lh.googleusercontent.com/a-/ALV-UjUATPUQNvdyf8xsYSpmDknaUZLP8zAv4RwyfUSGHptb47Q,"O app supre minhas necessidades, mas existem alguns problemas,ás vezes ao entrar na conta,apareçe a mensagem ""saldo indisponível"" do nada,outra coisa que precisa melhorar é o leitor de código de barras,muito difícil de conseguir uma leitura,mesmo enquadrando bem a lente no código. Outra coisa,o app faz o cliente perder tempo,pois qualquer ação perde continuidade,não sendo possível voltar aos menus anteriores,obrigando a pessoa a entrar novamente.",4,974,8.39.3.0,2023-07-19 23:04:27,"Olá, Alisson! Para que possamos te ajudar, por favor, nos chame por uma das páginas oficiais do BB no Facebook (via Messenger) ou Instagram (via Direct), com a #atendimentoapp ou ligue no SAC, no telefone 0800-729-0722. Te esperamos!",2023-07-20 00:23:45,8.39.3.0
cf66181e-c6a2-43c6-94a0-b5498c5352cf,Jean Maurice Boechat,https://play-lh.googleusercontent.com/a-/ALV-UjXlTqQ64tgd0wftMNRzxzuH0tYYy_87tILijmXymAT6oS4S,"Aplicativo muito pesado. Demora muito para abrir, carregar e atualizar com algumas ações. Em alguns casos, quando apresenta um erro, não indica como o usuário pode resolvê-lo, nos deixando perdidos e até fazendo desistir de resolver uma situação específica. Acho que o aplicativo melhorou bastante nos últimos anos, mas, tendo como referência alguns outros, ainda precisa evoluir muito mais.",2,2555,8.37.1.0,2023-06-22 12:41:32,"Jean , verifique se há atualização disponível e realize a limpeza do cache do aplicativo, caso não resolva, nos chame por uma das páginas oficiais do BB no Facebook (via Messenger), Twitter (via DM) ou Instagram (via Direct), com a #atendimentoapp ou ligue no SAC, pelo telefone 0800-729-0722.",2023-06-22 12:58:17,8.37.1.0
fbf0d314-e497-48da-aedb-f10f48f6c9f3,IPRED Tesouraria,https://play-lh.googleusercontent.com/a/ACg8ocKLhF_bR5qK8Lg52iPmoXHdK7_QtmD4MlR2EhYFqaNj=mo,"O BB code é realmente muito seguro, nem mesmo o titular da conta consegue acessar com ele Kkkkkk. Você autoriza o acesso várias vezes e, em todas, ele diz que liberou mas o navegador continua na mesma. Se atualizar as coisas ele começa a retornar o erro null. Esse recurso não funciona direito. Consertem ou terminem com ele pra não perdermos mais tempo. Ps: meu celular e novo e tem o Android mais atual, então não é problema do aparelho.",1,5,8.44.1.0,2023-09-21 18:07:16,"Lamentamos por esse transtorno! Se possível, nos acione pelas páginas oficiais do BB no Facebook (via Messenger) ou Instagram (via Direct), enviando #atendimentoapp e vamos verificar esse problema.
",2023-09-21 18:16:24,8.44.1.0
03dc7777-d3cc-40e2-8817-66f0fdbd2d89,Carlos Eugênio,https://play-lh.googleusercontent.com/a-/ALV-UjUyPBiJ8i8QQr0lX5XLB_s8nwGLIH1f43RWVaF4N4Ok_pM,"Olá! Eu gostaria de relatar uma questão que vem ocorrendo comigo há algumas atualizações do app (3 a 4). Toda vez que tento acessar através do pacote de dados da minha operadora (Claro), o app fica tentando logar e, após um tempo, aparece a mensagem ""erro de conexão. Tente mais tarde"" ou algo parecido. Resumindo, eu não estou podendo contar com o app do BB quando estou fora de casa, onde descarto totalmente o uso de redes wi-fi desconhecidas. O que pode estar ocorrendo? Grato!",3,102,8.42.1.0,2023-08-16 01:20:58,"
Olá, Carlos! Para verificarmos melhor o seu caso, por favor, nos chame por uma das páginas oficiais do BB no Facebook (via Messenger) ou Instagram (via Direct), com a #atendimentoapp ou ligue no SAC, no telefone 0800-729-0722. Ficamos no seu aguardo!",2023-08-16 11:14:23,8.42.1.0
74e50d09-c613-4a1d-8632-f16587bcd523,Ruana Nascimento,https://play-lh.googleusercontent.com/a-/ALV-UjU2rWJ0W3KitnRKy3QVAnV_V1lxe0RiTrlaFAUZ9bK9aPA,"Aplicativo pesado, por vezes demora uma eternidade pra abrir e quando já estou na fila prestes a fazer o pix, o app alega que não estou logada e reinicia, isso me faz passar vergonha e atrasar o atendimento nas filas do caixa de supermercado App tá atualizado, cache limpo e continua horrível da mesma forma. Mas tudo bem, app será desinstalado e conta desativada. Problema resolvido!",1,6,8.44.1.0,2023-09-19 11:29:45,"Olá, Ruana! Lamentamos pela sua experiência. Nosso objetivo é tornar o App cada vez melhor pra você. Se precisar de atendimento, por favor, nos acione em uma de nossas páginas oficiais no Facebook(via Messenger) ou Instagram(via Direct) enviando a hashtag #atendimentoapp, ou contate nosso SAC(0800 729 0722)
",2023-09-19 12:55:23,8.44.1.0
eaed9aba-ceae-4dd3-8fca-478a9f6d09ac,IGOR FONSECA,https://play-lh.googleusercontent.com/a/ACg8ocILGSU8M_KSYDntf50oPOvRQpgjg7pNNTGUGVhkM8fq=mo,"Aplicativo pesado, lento e pouco funcional. Quando pede atualização, não atualiza de forma rápida. Tem que desinstalar e instalar de novo... e quando isso é feito, tem que ""desbloquear"" dispositivo (celular)... o que só é feito em agência ou caixa eletrônico... Ou seja, tudo o possível para complicar a vida do usuário.",1,78,8.44.1.0,2023-09-15 16:48:28,"Olá, Igor Fonseca! Para verificarmos melhor o seu caso, favor, nos chame por uma das páginas oficiais do BB no Facebook Messenger ou Instagram Direct, com a #atendimentoapp ou ligue no SAC, no telefone 0800-729-0722. Ficamos no seu aguardo!",2023-09-15 16:55:55,8.44.1.0
ad40885e-2c10-4d4d-9af5-03308e2d6eb8,Connor Maclaod,https://play-lh.googleusercontent.com/a-/ALV-UjXbYBKthyVAC_lkGYdu3NqbNTmie8yQY-CSDMQz1o3Skg,"No geral não é ruim, mas é lento, e as notificações deveriam ser mais simplificadas, do jeito que ta, ta horrível, mostra uma notificação genérica q te obriga a clicar nela, vc clica e o app abre junto (não sei qual a necessidade disso), pra só depois abrir a notificação que você quer ver, não sei prq complicaram uma coisa tão simples... ""fulano de tal enviou um pix no valor xx"", só isso já é suficiente, pra que tanta enrolação? Sinto muito mas enquanto não arrumarem isso, vai ser 1 estrela.",1,36,8.44.1.0,2023-09-08 18:46:47,,,8.44.1.0
